experiment	k	2.2.2	2.2.3	improvement
bombyx	18	9022.4657	2853.8515	3.1615049696874555
bombyx	31	8720.164	1926.0274	4.527538912478608
celegan	18	2967.3342	806.5233	3.679167359455083
celegan	31	2658.8297	514.9167	5.16361131810252
ecoli	18	117.5605	39.0507	3.0104581992128185
ecoli	31	112.2901	32.9364	3.4093009557814455
hg38	18	92798.8415	31825.9084	2.9158269524837817
hg38	31	75434.4538	18414.1019	4.0965589421442266
yeast	18	259.988	80.6226	3.224753356999154
yeast	31	250.4148	65.938	3.7977312020382783
