name	simplitigs	cum len	kmers	superstr coef	genome frac
1	911	2133918	2106588	1.0129591601324968	1.0214415228583846
2	2310	2243819	2174519	1.0318548811730617	1.0740477827070103
3	2416	2250446	2177966	1.0332645239017886	1.0772199256721957
4	2622	2262692	2184032	1.0360017252257492	1.0830817127178665
5	2700	2267010	2186010	1.0370395784157656	1.0851486077418095
6	3319	2308113	2208543	1.0450698256294901	1.104823361370603
7	3340	2309166	2208966	1.0453463926598328	1.1053274003840845
8	6462	2562776	2368916	1.0818211981193324	1.2267227794999245
9	7993	2673078	2433288	1.0985321277366953	1.2795209858294674
10	8644	2721507	2462187	1.1053075338201304	1.3027024724238485
15	11537	2905842	2559732	1.1352000693814503	1.3909380199547754
20	12249	2951609	2584139	1.1421888429123637	1.4128452882643634
25	13925	3067943	2650193	1.1576169250663058	1.4685308291896508
30	14129	3082232	2658362	1.1594347259546371	1.4753705380819904
35	14913	3136163	2688773	1.1663788682175675	1.5011856644220256
40	15118	3148272	2694732	1.1682931553881195	1.5069818737422958
45	15372	3164076	2702916	1.1706027423411345	1.5145467669702708
50	16763	3251101	2748211	1.1829752194221685	1.556202982685566
55	16874	3257040	2750820	1.1840122144064562	1.5590458010151624
60	17133	3271864	2757874	1.1863589160463888	1.5661415981052345
65	17529	3295003	2769133	1.1898913137290943	1.5772175323245532
70	19170	3399114	2824014	1.2036335127922937	1.6270522956033246
75	19640	3426913	2837713	1.2076192241510242	1.640358829825324
80	20077	3451960	2849650	1.2113500463209905	1.6523480655049676
85	20314	3470139	2860719	1.2130176397859442	1.6610497988630641
90	20558	3485170	2868430	1.214996897289835	1.66824468054553
95	20686	3493430	2872850	1.2160027568154606	1.6721984908507106
100	20807	3501277	2877067	1.2169478470833621	1.6759546106406322
120	21694	3559663	2908843	1.2237258209622766	1.7039022097300112
140	22068	3580285	2918245	1.2268497657006279	1.7137733327461653
150	22607	3611384	2933174	1.2312079214401725	1.728659476412123
160	23719	3685148	2973578	1.2392850705271172	1.7639680555103479
180	24168	3714572	2989532	1.242513786300468	1.7780524277161145
200	25387	3789400	3027790	1.2515275016348395	1.8138703111926338
220	25625	3802334	3033584	1.2534007292951574	1.8200614228738936
240	25926	3820286	3042506	1.2556255702479773	1.828654498249027
250	28238	3961552	3114412	1.2719941485505268	1.8962742278581837
260	30079	4102925	3200555	1.281929709724941	1.9639451751068868
280	31615	4202196	3253746	1.291482880198268	2.011463177867853
300	33058	4289182	3297442	1.3007485734526327	2.053100725471537
320	35371	4424448	3363318	1.3154892089667796	2.1178484379098608
340	36239	4480243	3393073	1.3203969935483832	2.1445558042509685
350	37202	4536955	3420895	1.3262363249705855	2.1717021105496848
360	37968	4585477	3446437	1.330486263179076	2.194928113410214
380	39673	4686905	3496715	1.340362251179311	2.2434786063440946
400	40168	4717475	3512435	1.3430667636545846	2.2581115338294904
420	40473	4736894	3522704	1.344664115996269	2.2674068174028923
440	42281	4856111	3587681	1.3535401820269246	2.324472362578765
450	42769	4883898	3600828	1.3563150782396862	2.3377731527664225
460	43403	4931220	3629130	1.3587772377078993	2.360424752192785
480	44437	4996896	3663786	1.3638501496800057	2.391861852144727
500	45274	5045678	3687458	1.3683239104778104	2.4152123090826585
520	46197	5102134	3716224	1.3729239174717336	2.4422360759820863
540	46845	5139747	3734397	1.3763147599350583	2.460240272956512
550	47207	5166616	3750406	1.3776040972302954	2.473101644517032
560	47578	5190207	3762867	1.3793114719855473	2.4843939373632202
580	48098	5224178	3781238	1.3815942165432336	2.50065481991495
600	49115	5289496	3816046	1.3861086624060945	2.5319205561756983
650	50036	5344737	3843657	1.3905234739457193	2.5583627395980324
700	51128	5412366	3878526	1.3954590316602364	2.59073468113908
750	51937	5460000	3901890	1.3993111083774141	2.613535625458326
800	53256	5559800	3962120	1.4032280453794026	2.6613068443998538
850	54674	5646420	4006200	1.4094098441677088	2.7027691989561173
900	55313	5692021	4032631	1.4114801616104107	2.7245970081239794
950	56250	5751937	4064437	1.4151762088362385	2.7532769715919208
1000	56695	5781369	4080519	1.4168115613854901	2.767365173153915
1050	58446	5895917	4142537	1.4232520560319242	2.822195810301351
1100	59484	5961365	4176845	1.4272308843333832	2.8535237736008012
1102	59558	5965982	4179242	1.427517041245461	2.8557337908137574
