iter	file	loading	matching	mem
0	bc19.log	NA	NA	NA
1	bc19_solid10.log	222.588	188.310	37.841444864
2	bc19_solid10.log	220.994	192.134	37.62917376
3	bc19_solid10.log	221.195	178.982	37.853810688
0	bc23.log	NA	NA	NA
1	bc23_solid10.log	86.328	112.611	20.79561728
2	bc23_solid10.log	85.223	112.512	20.795539456
3	bc23_solid10.log	85.322	112.522	20.795621376
0	bc27.log	NA	NA	NA
1	bc27_solid10.log	68.621	134.222	18.181349376
2	bc27_solid10.log	67.386	133.526	18.181206016
3	bc27_solid10.log	67.236	133.472	18.181267456
0	bc31.log	NA	NA	NA
1	bc31_solid10.log	59.977	147.817	17.234157568
2	bc31_solid10.log	58.876	147.710	17.234239488
3	bc31_solid10.log	58.870	147.593	17.234255872
1	pa19.log	102.475	723.349	33.747828736
2	pa19.log	102.564	722.143	33.96747264
3	pa19.log	102.603	728.510	33.9515392
1	pa19_solid10.log	46.497	96.908	12.699037696
2	pa19_solid10.log	45.702	96.801	12.698984448
3	pa19_solid10.log	45.659	96.681	12.699045888
1	pa23.log	67.713	229.347	38.062051328
2	pa23.log	67.752	230.977	38.434123776
3	pa23.log	67.655	231.196	38.371631104
1	pa23_solid10.log	29.041	103.641	10.235785216
2	pa23_solid10.log	28.415	103.917	10.235805696
3	pa23_solid10.log	28.480	103.824	10.235809792
1	pa27.log	55.249	210.954	37.477470208
2	pa27.log	55.461	208.053	37.488648192
3	pa27.log	55.330	208.524	37.503164416
1	pa27_solid10.log	22.425	125.320	9.360887808
2	pa27_solid10.log	21.756	125.250	9.360818176
3	pa27_solid10.log	21.733	125.171	9.360809984
1	pa31.log	54.006	228.318	35.743453184
2	pa31.log	52.158	201.858	37.475008512
3	pa31.log	52.281	204.277	37.474889728
1	pa31_solid10.log	21.406	138.124	9.513582592
2	pa31_solid10.log	20.836	137.942	9.513562112
3	pa31_solid10.log	20.760	138.727	9.513566208
